CODIGO;PRODUTO;PALLET;LASTRO;CAIXAS;UNIDADES
9689;BOHEMIA 630ML;;;;
9692;CINTRA PILSEN LN 355 CX C/24 MERCOSUL;;;;
9694;CINTRA PILSEN LATA 355ML SHRINK C/12 MERCOSUL;;;;
9696;CINTRA PILSEN LATA 350ML SHRINK C/12 MERCADOS;;;;
9699;CINTRA PILSEN LATA 350ML SHRINK C/12 TO DENTRO;;;;
9700;CINTRA PILSEN LATA 350ML SHRINK C/12 COLOR/DESC;;;;
9702;CINTRA GUARANA LATA 355ML SHRINK C/12 MERCOSUL;;;;
9704;CINTRA LARANJA LATA 355ML SHRINK C/12 MERCOSUL;;;;
9706;CINTRA COLA LATA 355ML SHRINK C/12 MERCOSUL;;;;
9708;CINTRA LARANJA LATA 350ML 12-PACK SHC/2 ANGOLA;;;;
9710;CINTRA LIMAO LATA 350ML 12-PACK SHC/2 ANGOLA;;;;
9711;GATORADE COOL BLUE PET 591ML CX24;;;;
9713;LOWENBRAU ORIGINAL ONE WAY 330ML CX C/24;;;;
9714;FRANZISKANER HWK KLAR ONE WAY 500ML CX20;;;;
9715;SKOL LATA 350ML SH C/18 NPAL FORRO CAJU;;;;
9716;SKOL LATA 350ML SH C/12 NPAL FORRO CAJU;;;;
9718;CINTRA LIMAO LATA 355ML SHRINK C/12 MERCOSUL;;;;
9720;BRAHMA FRESH LATA 350ML SH C/12 NPAL;;;;
9721;BRAHMA FRESH LATA 350ML SHRINK C/12;;;;
9722;BRAHMA CHOPP LATA 350ML SH C/12 NPAL EXPORTACAO PERU;;;;
9724;SKOL LATA 350ML SHRINK C/12 FESTA DA CANA;;;;
9725;SKOL LATA 350ML SH C/12 NPAL FESTA DA CANA;;;;
9726;CHOPP BOHEMIA SWISS BARRIL KEG 30L;;;;
9728;CINTRA COLA LATA 350ML 12-PACK SHC/2 ANGOLA;;;;
9730;CINTRA GUARANA LATA 350ML 12-PACK SHC/2 ANGOLA;;;;
9733;CINTRA PILSEN LATA 355ML SHRINK C/12 ANDINA;;;;
9734;GUARANA CHP ANTARCTICA LATA 350ML SH LISO C/12 NPAL;;;;
9735;BRAHMA CHOPP LATA 350ML SH LISO C/12 NPAL;;;;
9736;ANTARCTICA PILSEN LATA 350ML SH LISO C/12 NPAL;;;;
9737;GUARANA CHP ANTARCTICA DIET LATA 350ML SH LISO C/12 NPAL;;;;
9738;SODA LIMONADA ANTARCTICA LATA 350ML SH LISO C/12 NPAL;;;;
9739;SUKITA LATA 350ML SH LISO C/12 NPAL;;;;
9740;TONICA ANTARCTICA LATA 350ML SH LISO C/12 NPAL;;;;
9742;BRAHMA INTL LIGHT ONE WAY 650CX24;;;;
9743;BRAHMA INTL LIGHT ONE WAY 650ML FOURPACKC/6;;;;
9750;BRAHMA INTL LIGHT GARRAFA VIDRO 650MLCX16;;;;
9752;BRAHMA INTL LIGHT LONG NECK 355ML SIX PACK C/4;;;;
9753;BRAHMA INTL LIGHT LN 355 CX C/24;;;;
9755;BRAHMA INTL LIGHT LONG NECK 355ML R CX24;;;;
9757;BRAHVA BEATS LATA 300 ML CAIXA C/24;;;;
9759;BRAHMA CHOPP GARRAFA VIDRO 1100ML CX06 3,29;;;;
9761;CINTRA COLA LIGHT LATA 350ML 12-PACK SHC/2 ANGOLA;;;;
9763;BRAHMA CHOPP GARRAFA VIDRO 1100ML CX06 3,19;;;;
9765;FRANZISKANER KIT 500ML CXC/3;;;;
9766;SKOL LATA 350ML SH C/18 NPAL MORRO DA URCA;;;;
9770;BRAHVA EXTRA 355ML CAIXA C/24;;;;
9772;BRAHVA EXTRA GFA VIDRO 500ML CAIXA C/24 NPAL;;;;
9774;BRAHVA EXTRA LATA 355ML CAIXA C/24;;;;
9776;BRAHMA MALTA LATA 355ML SHRINK C/12  DECORADO;;;;
9778;BRAHMA MALTA LATA 250ML SHRINK C/12  DECORADO;;;;
9779;BRAHVA EXTRA LATA 355ML SHRINK C/24  DECORADO;;;;
9780;AGUA MINERAL PURAGUA C/GAS PET 510ML;;;;
9781;AGUA MINERAL PURAGUA C/GAS PET 510ML CAIXA C/12;;;;
9783;TONICA ANTARCTICA PET 1,5L CAIXA C/6;;;;
9785;TONICA ANTARCTICA DIET PET 1,5L CAIXA C/6;;;;
9786;FRANZISKANER KIT 500ML CX C/1;;;;
9787;ROLHA MET CARACU CX10,7MIL MOGI MIRIM;;;;
9790;GUARANA ANTARCTICA ICE LATA 350ML SHRINK C/12;;;;
9791;GUARANA ANTARCTICA ICE LATA 350ML SH C/12 NPAL;;;;
9793;GUARANA ANTARCTICA ICE PET 2L CAIXA C/6;;;;
9795;GUARANA ANTARCTICA ZERO PET 1L CAIXA C/12;;;;
9796;BRAHMA CHOPP LATA 350ML SH C/12 NPAL VAQUEJADA SERRINHA;;;;
9799;LEFFE BLONDE LONG NECK 355ML SIX-PACK SHRINK C/4;;;;
9800;BRAHMA MALTA LATA 355ML CAIXA C/24;;;;
9801;BRAHMA MALTA LATA 250ML CAIXA C/24;;;;
9802;AGUA MIN INGA S/GAS PET 510ML;;;;
9803;AGUA MIN INGA S/GAS PET 510ML CAIXA C/12;;;;
9805;LEFFE BLONDE ONE WAY 330ML CX C/24;;;;
9807;LEFFE BRUNE ONE WAY 330ML CX C/24;;;;
9809;HOEGAARDEN WHITE ONE WAY 330ML CX C/24;;;;
9811;BELLE-VUE KRIEK ONE WAY 375ML CX24;;;;
9812;CEBADA CLE247 GRANEL 2006 NACIONAL;;;;
9813;CEBADA CLE247 SACO 50KG 2006 NACIONAL;;;;
9814;ANTARCTICA PILSEN LATA 350ML SH C/12 NPAL CEARA MUSIC;;;;
9816;ANTARCTICA PILSEN LATA 350ML SH C/12 NPAL PERNAMBUCO MUSIC;;;;
9817;POLAR EXPORT LATA 350ML SH C/12 NPAL FARROUPILHA;;;;
9819;GATORADE COOL RED PET 500ML SIXPACK;;;;
9820;AGUA M ATTIVA S/GAS COPO 200ML;;;;
9821;AGUA M ATTIVA S/GAS COPO 200ML CAIXA C/48;;;;
9822;AGUA M ATTIVA S/GAS PET 330 ML;;;;
9823;AGUA M ATTIVA S/GAS PET 330 ML CAIXA C/ 12;;;;
9824;AGUA M ATTIVA C/GAS PET 510ML;;;;
9825;AGUA M ATTIVA C/GAS PET 510ML CAIXA C/12;;;;
9826;AGUA M ATTIVA S/GAS PET 510ML;;;;
9827;AGUA M ATTIVA S/GAS PET 510ML CAIXA C/12;;;;
9828;AGUA M ATTIVA S/GAS PET 1,5L;;;;
9829;AGUA M ATTIVA S/GAS PET 1,5L CAIXA C/6;;;;
9830;AGUA M ATTIVA S/GAS GARRAFAO POLIP 5 LITROS;;;;
9831;AGUA M ATTIVA S/GAS GARRAFAO PVC 20 LITROS;;;;
9832;GUARANA ANTARCTICA ICE PET 2L SHRINK C/8;;;;
9835;AGUA MIN INGA S/GAS GARRAFA VIDRO 300 ML;;;;
9836;AGUA MIN INGA S/GAS GARRAFA VIDRO 300ML CX12;;;;
9837;AGUA MIN INGA C/GAS GARRAFA VIDRO 300 ML;;;;
9838;AGUA MIN INGA C/GAS GARRAFA VIDRO 300ML CX12;;;;
9839;AGUA MIN INGA S/GAS PET 510 ML SPORT;;;;
9840;AGUA MIN INGA S/GAS PET 510ML SPORT CX12;;;;
9841;AGUA MIN AQUAVIT S/GAS COPO 200ML;;;;
9842;AGUA MIN AQUAVIT S/GAS COPO 200ML CAIXA C/48;;;;
9843;AGUA MIN AQUAVIT S/GAS PET 1,5L;;;;
9844;AGUA MIN AQUAVIT S/GAS PET 1,5L CAIXA C/6;;;;
9845;AGUA MIN AQUAVIT S/GAS PET 500ML;;;;
9846;AGUA MIN AQUAVIT S/GAS PET 500ML CAIXA C/12;;;;
9847;AGUA MIN AQUAVIT C/GAS PET 500ML;;;;
9848;AGUA MIN AQUAVIT C/GAS PET 500ML CAIXA C/12;;;;
9850;BRAHVA EXTRA LN 355 CX C/24;;;;
9852;BRAHVA EXTRA LT 355ML SH24 TERMOCONTRAIBLE;;;;
9855;SKOL LATA 350ML SH C/24;;;;
9856;BOHEMIA ESCURA LATA 350ML SHRINK C/06;;;;
9882;BRAHMA EXTRA LATA 350ML SHRINK C/06;;;;
9883;BRAHMA CHOPP LATA 350ML SHRINK C/06;;;;
9884;ANTARCTICA PILSEN LATA 350ML SHRINK C/06;;;;
9885;BRAHMA CHOPP LATA 350ML CAIXA C/18;;;;
9886;BRAHMA CHOPP LATA 350ML SH C/18 NPAL;;;;
9887;BRAHMA CHOPP LATA 350ML SH C/15;;;;
9888;CONC.NAT.S.GUARANA  FE1430 ICE BOMB 20L KIT;;;;
9905;ROLHA MET BRAHMA EXTRA JACAREI CX10,7MIL;;;;
9907;LEFFE BLONDE ONE WAY 750ML CX06;;;;
9908;BRAHVA EXTRA GARRAFA VIDRO 1L CAIXA C/12;;;;
9909;AGUA MIN DIAS DAVILA S/GAS PET 500 ML SPORT;;;;
9910;AGUA MIN DIAS DAVILA S/GAS PET 500ML SPORT CX12;;;;
9911;BOHEMIA ESCURA 600ML;;;;
9915;GARRAFA AMBAR 635 ML VR - 7C ATG;;;;
9916;GARRAFA AMBAR LN 355 ML VR - 10C;;;;
9917;GARRAFA AMBAR LN KRONENBIER 355 ML VR - 10C;;;;
9919;SKOL LATA 350ML SHRINK C/12 EXPOVEL;;;;
9921;SKOL LATA 350ML SHRINK C/12 SAO FRANCISCO;;;;
9922;BELLE-VUE KRIEK ONE WAY 375ML CX12;;;;
9923;BOHEMIA LATA 350ML CX CARTAO C/06;;;;
9924;CEVADA MN743 SACO 50KG 07 NACIONAL;;;;
9925;SKOL LATA 350ML SH C/12 NPAL EXPOVEL;;;;
9927;CINTRA PILSEN L N 355ML SHRINK C/12 MERCOL;;;;
9929;BRAHMA CHOPP LATA 350ML SH C/12 NPAL OKTOBERFEST;;;;
9930;SKOL LATA 350ML SH C/12 NPAL SAO FRANCISCO;;;;
9932;SKOL LATA 350ML SH C/12 NPAL MODELO;;;;
9934;BRAHMA BEATS L N 355 12PACKBJ2 PARAGUAI;;;;
9936;BR INTL L N 355 6PACK BASKCX4 CANADA FRA;;;;
9937;BR INTL LN 355 CX C/24 CANADA FRA;;;;
9938;BR INTL L N 355 12PACKBJ2 CANADA FRA;;;;
9939;CEVADA MN743 SACO 50KG 2007 NACIONAL;;;;
9940;CEVADA MN721 SACO 50KG 2007 NACIONAL;;;;
9941;CEVADA BRS195 SACO 50KG 2007 NACIONAL;;;;
9942;CEVADA MN610 SACO 50KG 2007 NACIONAL;;;;
9943;CEVADA EMBRAPA 127 SACO 50KG 2007 NACIONAL;;;;
9944;CEVADA MN858 SACO 50KG 2007 NACIONAL;;;;
9945;CEVADA MN698 SACO 50KG 2007 NACIONAL;;;;
9946;CEVADA MN836 SACO 50KG 2007 NACIONAL;;;;
9947;CEVADA MN857 SACO 50KG 2007 NACIONAL;;;;
9948;CEBADA SCARLET SACO 50KG 2007 NACIONAL;;;;
9949;CONC.NAT.S.GUARANA  FE1430 KIT AMAZONIA;;;;
9951;ANTARCTICA PILSEN 630ML;;;;
9952;ANTARCTICA MALZEBIER 630ML;;;;
9953;POLAR BOCK 630ML;;;;
9954;POLAR EXPORT 630ML;;;;
9955;SERRAMALTE 630ML;;;;
9957;LIPTON CHA VERDE LATA 340ML SIX-PACK NPAL;;;;
9958;LIPTON LIMAO LATA 340ML SIX-PACK NPAL;;;;
9959;LIPTON LIMAO LIGHT LATA 340ML SIX-PACK NPAL;;;;
9960;LIPTON PESSEGO LATA 340ML SIX-PACK NPAL;;;;
9961;LIPTON PESSEGO LIGHT LATA 340ML SIX-PACK NPAL;;;;
9963;CONC.NAT.S.GUA  FE1430 ICE KIT;;;;
9964;AGUA M ATTIVA C/GAS PET 330 ML;;;;
9965;AGUA M ATTIVA C/GAS PET 330 ML CAIXA C/ 12;;;;
9967;MALTA BRAHMA ONE WAY 300ML CX C/24;;;;
9969;ZULIA LATA 250ML CAIXA C/24;;;;
9972;CARDENAL LATA 250ML CAIXA C/24;;;;
9973;ZULIA LATA 355ML CAIXA C/24;;;;
9974;ROLHA MET BR FRESH CAMACARI/SERGIPE CX10,7MIL;;;;
9977;GUARANA ANTARCTICA AMAZONIA BAG IN BOX 1000L;;;;
9978;CEVADA MN743 SACO 50KG 2007 NACIONAL C/INSET;;;;
9979;CEVADA MN721 SACO 50KG 2007 NACIONAL C/INSET;;;;
9980;CEVADA BRS195 SACO 50KG 2007 NACIONAL C/INSET;;;;
9981;CEVADA MN610 SACO 50KG 2007 NACIONAL C/INSET;;;;
9982;CEVADA BOREMA SACO 50KG 2007 NACIONAL C/INSET;;;;
9983;CEVADA EMBRAPA 127 SACO 50KG 2007 NACIONAL C/INSET;;;;
9984;CEVADA MN858 SACO 50KG 2007 NACIONAL C/INSET;;;;
9985;CEVADA MN698 SACO 50KG 2007 NACIONAL C/INSET;;;;
9986;CEVADA MN857 SACO 50KG 2007 NACIONAL C/INSET;;;;
9987;CEVADA MN836 SACO 50KG 2007 NACIONAL C/INSET;;;;
9988;CEBADA SCARLET SACO 50KG 2007 NACIONAL C/INSET;;;;
9992;SUKITA VITAMINADA LATA 350ML SH C/12 NPAL;;;;
9994;SUKITA VITAMINADA PET 2L CAIXA C/6;;;;
9995;GARRAFA AMBAR 1100 ML VR ATG;;;;
9998;AGUA MIN NATURAL DIAMANTE S/GAS PET 350 ML;;;;
9999;AGUA MIN NATURAL DIAMANTE S/GAS PET 350 ML CAIXA C/ 12;;;;
10000;AGUA MIN NATURAL DIAMANTE S/GAS PET 600ML;;;;
10001;AGUA MIN NATURAL DIAMANTE S/GAS PET 600ML CAIXA C/12;;;;
10002;AGUA MIN NATURAL DIAMANTE S/GAS PET 2L;;;;
10003;AGUA MIN NATURAL DIAMANTE S/GAS PET 2L CAIXA C/6;;;;
10005;ROLHA MET BR FRESH CE/CI CX10,7MIL;;;;
10007;CEVADA BRS195 SACO 50KG 2009 NACIONAL FUNG;;;;
10008;CEVADA BRS195 SACO 50KG 2009 NAC FUNG C/INSET;;;;
10009;CEVADA BOREMA SACO 50KG 2009 NACIONAL FUNG;;;;
10010;CEVADA CAUE SACO 50KG 2009 NACIONAL FUNG;;;;
10011;CEVADA EMBRAPA 127 SACO 50KG 2009 NACIONAL FUNG;;;;
10012;CEVADA ELIS SACO 50KG 2009 NACIONAL FUNG;;;;
10013;CEVADA EMBRAPA 127 SACO 50KG 2009 NACIONAL S/TRAT;;;;
10014;CEVADA BRS195 SACO 50KG 2009 NACIONAL S/TRAT;;;;
10015;ROLHA MET SEM LOGO 600ML CX10,7MIL;;;;
10019;ROLHA MET ANTARCTICA CRISTAL 355 ML JP CX10,7MIL;;;;
10020;ROLHA MET SKOL BEATS 330ML CX10,7MIL;;;;
10021;CEVADA SCARLET SACO 50KG 2009 NACIONAL S/TRAT;;;;
10022;CEVADA CAUE SACO 50KG 2009 NACIONAL S/TRAT;;;;
10023;CEVADA ABPR 222 SACO 50KG 2009 NACIONAL S/TRAT;;;;
10024;CEVADA BRS225 SACO 50KG 2009 NACIONAL FUNG;;;;
10025;AGUA MIN FONTE D`VIDA S/ GAS PET 500ML;;;;
10026;AGUA MIN FONTE D`VIDA S/ GAS PET 500ML CAIXA C/12;;;;
10028;SUKITA PET 237ML SHRINK C/12;;;;
10030;SUKITA UVA PET 237ML SHRINK C/12;;;;
10032;PEPSI COLA PET 237ML SHRINK C/12;;;;
10034;GUARANA CHP ANTARCTICA LATA 350ML SH C/12 NPAL CARREFOUR LEV;;;;
10035;SUKITA VITAMINADA PET 2L CAIXA C/8;;;;
10039;CEVADA MN610 SACO 50KG 2009 NACIONAL S/TRAT;;;;
10040;CEVADA MP 6021 SACO 50KG 2009 NACIONAL S/TRAT;;;;
10041;CEVADA MN698 SACO 50KG 2009 NACIONAL S/TRAT;;;;
10042;CEVADA MN721 SACO 50KG 2009 NACIONAL S/TRAT;;;;
10043;CEVADA ABPR 315 SACO 50KG 2009 NACIONAL S/TRAT;;;;
10044;CEVADA MN858 SACO 50KG 2009 NACIONAL S/TRAT;;;;
10045;CEVADA BOREMA SACO 50KG 2009 NACIONAL S/TRAT;;;;
10046;CEVADA ELIS SACO 50KG 2009 NACIONAL S/TRAT;;;;
10047;CEVADA EMBRAPA 127 SACO 50KG 2009 NAC FUNG C/INSET;;;;
10048;CEVADA BRS225 SACO 50KG 2009 NAC FUNG C/INSET;;;;
10049;CEVADA ABPR 222 SACO 50KG 2009 NAC FUNG C/INSET;;;;
10050;CEVADA BRS225 SACO 50KG 2009 NACIONAL S/TRAT;;;;
10051;CEVADA ABPR 315 SACO 50KG 2009 NAC FUNG C/INSET;;;;
10052;CEVADA MN610 SACO 50KG 2009 NAC FUNG C/INSET;;;;
10053;CEVADA MP 6021 SACO 50KG 2009 NAC FUNG C/INSET;;;;
10054;CEVADA MN698 SACO 50KG 2009 NAC FUNG C/INSET;;;;
10055;CEVADA MN721 SACO 50KG 2009 NAC FUNG C/INSET;;;;
10056;CEVADA MN836 SACO 50KG 2009 NAC FUNG C/INSET;;;;
10057;CEVADA MN858 SACO 50KG 2009 NAC FUNG C/INSET;;;;
10058;CEVADA BOREMA SACO 50KG 2009 NAC FUNG C/INSET;;;;
10059;CEVADA SCARLET SACO 50KG 2009 NAC FUNG C/INSET;;;;
10060;CEVADA CAUE SACO 50KG 2009 NAC FUNG C/INSET;;;;
10061;CEVADA ELIS SACO 50KG 2009 NAC FUNG C/INSET;;;;
10062;CEVADA MP 6021 SACO 50KG 2009 NACIONAL FUNG;;;;
10063;CEVADA ABPR 222 SACO 50KG 2009 NACIONAL FUNG;;;;
10064;CEVADA MN721 SACO 50KG 2009 NACIONAL FUNG;;;;
10065;CEVADA MN836 SACO 50KG 2009 NACIONAL FUNG;;;;
10066;AGUA MIN VILA NOVA S/GAS COPO 200ML;;;;
10068;CEVADA ABPR 315 SACO 50KG 2009 NACIONAL FUNG;;;;
10069;CEVADA MN610 SACO 50KG 2009 NACIONAL FUNG;;;;
10070;CEVADA MN698 SACO 50KG 2009 NACIONAL FUNG;;;;
10071;CEVADA MN836 SACO 50KG 2009 NACIONAL S/TRAT;;;;
10072;CEVADA MN858 SACO 50KG 2009 NACIONAL FUNG;;;;
10073;ROLHA MET KRONENBIER 355ML JG CX10,7MIL;;;;
10075;SKOL LATA 350ML SH C/12 NPAL TUSCA;;;;
10077;BRAHMA CHOPP LATA 350ML SH C/12 NPAL ATL MINEIRO;;;;
10079;BRAHMA CHOPP LATA 350ML SH C/12 NPAL CRUZEIRO;;;;
10081;RED ROCK MANZANA VERDE PET 500ML CAIXA C/12;;;;
10083;BRAHMA CHOPP LATA 350ML SH C/12 NPAL SAO FRANCISCO;;;;
10085;SKOL LATA 350ML SH C/12 NPAL ARACATUBA;;;;
10086;ROLHA MET BR FRESH MU/CE CX10,7MIL;;;;
10109;SKOL LATA 350ML SH C/12 NPAL LIMEIRA;;;;
10111;SKOL LATA 350ML SH C/12 NPAL PIRACICABA;;;;
10113;SKOL LATA 350ML SH C/12 NPAL PRUDENTE;;;;
10115;SKOL LATA 350ML SH C/12 NPAL RIO PRETO;;;;
10117;SKOL LATA 350ML SH C/12 NPAL SAO CARLOS;;;;
10118;CEVADA MN743 SACO 50KG 2009 NACIONAL FUNG;;;;
10119;CEVADA MN743 SACO 50KG 2009 NAC FUNG C/INSET;;;;
10120;CEVADA MN743 SACO 50KG 2009 NACIONAL S/TRAT;;;;
10121;ROLHA MET BRAH. MLZ 600ML SC/JC CX10,7MIL;;;;
10122;ROLHA MET BRAH. MLZ 600ML CM/NR CX10,7MIL;;;;
10123;ROLHA MET GUAR.ZERO 290ML PS/CN CX10,7MIL;;;;
10124;ROLHA MET GUAR.ZERO 290ML CE/CI CX10,7MIL;;;;
10126;ANTARCTICA PILSEN LATA 350ML SH C/12 NPAL BIG;;;;
10128;ZULIA LONG  NECK 222ML CX 36 PIROGRABADA CN;;;;
10130;ZULIA LONG  NECK 222ML CX 36 PIROGRABADA PL;;;;
10131;KIT BOHEMIA LN MULTIPACK CX C/02;;;;
10132;ROLHA MET ORIGINAL 600ML JC/GU CX10,7MIL;;;;
10133;ROLHA MET ORIGINAL 600ML JG/JC CX10,7MIL;;;;
10134;ROLHA MET ORIGINAL 600ML NM/CE CX10,7MIL;;;;
10135;ROLHA MET ANT. MLZ 600ML CM/SC CX10,7MIL;;;;
10136;ROLHA MET ANT. MLZ 600ML SC/JG CX10,7MIL;;;;
10137;ROLHA MET ANT. MLZ 355ML JP/JG CX10,7MIL;;;;
10138;ROLHA MET ANT. MLZ 355ML SC/JG CX10,7MIL;;;;
10139;ROLHA MET BRAHMA 355ML SC/JC CX10,7MIL;;;;
10140;ROLHA MET BRAHMA 355ML NR/JP CX10,7MIL;;;;
10141;ROLHA MET BRAHMA LIBER 355ML JG CX10,7MIL;;;;
10142;ROLHA MET BRAH. MLZ 355ML SC/JC CX10,7MIL;;;;
10143;ROLHA MET BRAH. MLZ 355ML JP/NR CX10,7MIL;;;;
10144;ROLHA MET ANTARCTICA 355ML NR/JP CX10,7MIL;;;;
10145;ROLHA MET ANTARCTICA 355ML SC/JG CX10,7MIL;;;;
10146;ROLHA MET GUAR.ZERO 290ML NE/TE CX10,7MIL;;;;
10147;ROLHA MET GUAR.ZERO 290ML NR/CH CX10,7MIL;;;;
10148;ROLHA MET GUAR.ZERO 290ML PJ/CN CX10,7MIL;;;;
10149;ROLHA MET ANTARCTICA 1L SUB ZERO SC/CW CX10,7MIL;;;;
10151;SKOL LATA 350ML SH C/12 NPAL MONTES CLAROS;;;;
10153;SKOL LATA 350ML SH C/12 NPAL CONTAGEM;;;;
10154;SKOL LATA 350ML SH C/12 NPAL MARILIA;;;;
10155;SKOL LATA 350ML SH C/12 NPAL ARARAQUARA;;;;
10157;SKOL LATA 350ML SH C/12 NPAL RODEIO 8 SEGUNDOS;;;;
10159;SKOL LATA 350ML SH C/12 NPAL REVEILLON NOSSA PRAIA;;;;
10162;BRAHMA FRESH LONG NECK 355ML SIX-PACK CAIXA C/4;;;;
10166;CEBADA MP 1109 GRANEL 2009 NACIONAL;;;;
10167;CEBADA MP 1109 SACO 40KG 2009 NACIONAL;;;;
10168;CEBADA AYELEN SACO 40KG 2009 NACIONAL;;;;
10169;CEBADA AYELEN GRANEL 2009 NACIONAL;;;;
10170;CEBADA MP 1010 SACO 40KG 2009 NACIONAL;;;;
10171;CEBADA MP 1010 GRANEL 2009 NACIONAL;;;;
10172;CEBADA MP 1012 SACO 40KG 2009 NACIONAL;;;;
10173;CEBADA MP 1012 GRANEL 2009 NACIONAL;;;;
10175;ANTARCTICA SUBZERO LT 473ML SH C/12 NPAL;;;;
10185;CEBADA MP 2122 SACO 40KG 2009 NACIONAL;;;;
10186;CEBADA MP 2122 GRANEL 2009 NACIONAL;;;;
10187;CEBADA MP 4076 SACO 40KG 2009 NACIONAL;;;;
10188;ROLHA MET PEPSI MU/PJ CX10,7MIL;;;;
10189;ROLHA MET PEPSI NE/CM CX10,7MIL;;;;
10190;ROLHA MET PEPSI NR/CH CX10,7MIL;;;;
10191;ROLHA MET PEPSI PJ/CE CX10,7MIL;;;;
10192;ROLHA MET PEPSI PS/CN CX10,7MIL;;;;
10193;CEBADA MP 4076 GRANEL 2009 NACIONAL;;;;
10194;CEBADA SCARLET GRANEL 2009 NACIONAL;;;;
10195;CEBADA SHAKIRA SACO 40KG 2009 NACIONAL;;;;
10196;CEBADA SHAKIRA GRANEL 2009 NACIONAL;;;;
10197;ROLHA MET PEPSI TE/AQ CX10,7MIL;;;;
10198;ROLHA MET SUKITA NE/CM CX10,7MIL;;;;
10199;ROLHA MET SUKITA PJ/CE CX10,7MIL;;;;
10200;ROLHA MET SUKITA PS/CN CX10,7MIL;;;;
10201;ROLHA MET SUKITA TE/AQ CX10,7MIL;;;;
10202;ROLHA MET ANTARCTICA 1L SUB ZERO NR/PI CX10,7MIL;;;;
10204;ROLHA MET SUKITA NR/CH CX10,7MIL;;;;
10206;AGUA MIN NAT PUREZA VITAL S/ GAS PET 510ML;;;;
10207;AGUA MIN NAT PUREZA VITAL S/ GAS PET 510ML CAIXA C/12;;;;
10208;AGUA MIN NAT PUREZA VITAL C/GAS PET 510ML;;;;
10209;AGUA MIN NAT PUREZA VITAL C/GAS PET 510ML CAIXA C/12;;;;
10210;AGUA MIN VILA NOVA C/GAS PET 510ML;;;;
10212;BOHEMIA LT 269ML CX C/8 FRIDGE PACK;;;;
10213;AGUA MIN VILA NOVA C/GAS PET 510ML CAIXA C/12;;;;
10214;AGUA MIN VILA NOVA S/GAS PET 510ML;;;;
10215;AGUA MIN VILA NOVA S/GAS PET 510ML CAIXA C/12;;;;
10217;SUKITA PET 1,5L CAIXA C/6;;;;
10219;SUKITA UVA PET 1,5L CAIXA C/6;;;;
10221;SODA LIMONADA ANTARCTICA PET 1,5L CAIXA C/6;;;;
10223;SKOL BARRIL 5L CX C/2;;;;
10225;BRAHVA BEATS LATA 355ML CAIXA C/24;;;;
10226;AGUA MIN EXTREMA S/GAS PET 500ML;;;;
10227;AGUA MIN EXTREMA S/GAS PET 500ML CAIXA C/12;;;;
10228;AGUA MIN VILA NOVA S/GAS PET 1,5L;;;;
10229;AGUA MIN VILA NOVA S/GAS PET 1,5L CAIXA C/6;;;;
10231;PEPSI COLA PET 2L CAIXA C/6 10 DESC;;;;
10233;GUARANA CHP ANTARCTICA PET 2L CAIXA C/6 10 DESC;;;;
10234;AGUA MIN VILA NOVA S/GAS COPO 200ML CAIXA C/48;;;;
10235;CHOPP BRAHMA CLARO BARRIL SMART DRAFT 10L;;;;
10236;KIT BOHEMIA LN MULTIPACK CX C/04;;;;
10238;BRAHVA CHOPP LN 355 CX C/24 PRECIO;;;;
10239;CEBADA SCARLET SACO 40KG 2009 NACIONAL;;;;
10241;PEPSI COLA LATA 350ML SH C/12 NPAL FESTIVAL DE VERAO SALVADO;;;;
10243;ROLHA MET POLAR JG/CS CX10,7MIL;;;;
10245;BRAHMA CHOPP LATA 355ML SH C/12 NPAL VERANO PE/EC/RD;;;;
10247;ICE ONE WAY 330ML CX C/24 EN PROCESO;;;;
10249;BRAHVA CHOPP LN 355 CX C/24 EN PROCESO;;;;
10251;BRAHMA LIGHT LATA 355ML CAIXA C/24 EN PROCESO;;;;
10253;BRAHVA BEATS LONG NECK 330ML CAIXA C/24 EN PROCESO;;;;
10255;BRAHVA EXTRA LN 355 CX C/24 EN PROCESO;;;;
10257;NORTENA ONE WAY 970ML CAIXA C/6;;;;
10258;PEPSI COLA LATA 355ML SHRINK C/12;;;;
10259;PEPSI COLA LATA 355ML SH C/6;;;;
10260;PEPSI COLA LATA 355ML SH C/24;;;;
10261;AGUA MIN NAT PUREZA VITAL S/ GAS PET 1,5L;;;;
10262;AGUA MIN NAT PUREZA VITAL S/ GAS PET 1,5L CAIXA C/6;;;;
10263;PEPSI COLA LIGHT LATA 355ML SH C/24;;;;
10264;PEPSI COLA LIGHT LATA 355ML SHRINK C/12;;;;
10265;PEPSI COLA LIGHT LATA 355ML SH C/6;;;;
10266;SEVEN UP LATA 355ML SH C/24;;;;
10267;SEVEN UP LATA 355ML SHRINK C/12;;;;
10268;SEVEN UP LATA 355ML SH C/6;;;;
10269;SEVEN UP LIGHT LATA 355ML SH C/24;;;;
10270;SEVEN UP LIGHT LATA 355ML SHRINK C/12;;;;
10271;SEVEN UP LIGHT LATA 355ML SH C/6;;;;
10272;AGUA MIN NATURAGUA S/GAS GARRAFAO PET 5 LITROS;;;;
10273;AGUA MIN DA FLORA SGAS PET 1,5L;;;;
10274;AGUA MIN DA FLORA SGAS PET 1,5L CAIXA C/6;;;;
10276;ANTARCTICA PILSEN LATA 350ML SH C/12 NPAL VERAO FORTALEZA;;;;
