CODIGO;PRODUTO;PALLET;LASTRO;CAIXAS;UNIDADES
180;KAS GUARANA PESSEGO LATA 350ML CAIXA C/24;;;;
182;FIDALGA 600ML;;;;
183;TEUTONIA 600ML;;;;
184;YPIRANGA 600ML;;;;
185;HANSEATICA 600ML;;;;
186;GUARANY 600ML;;;;
187;GUANABARA 600ML;;;;
188;GAMBRINUS 600ML;;;;
189;DK 600ML;;;;
190;CONTINENTAL 600ML;;;;
191;CASCATINHA 600ML;;;;
192;CASCATA 600ML;;;;
193;CARIOCA 600ML;;;;
194;BULL BOCK 600ML;;;;
195;SEVEN UP LATA 350ML BANDEJA C/24;;;;
196;BRASIL 600ML;;;;
198;ABC 600ML;;;;
199;BOCK ALE 600ML;;;;
200;KAS GUARANA MARACUJA PET 2L CAIXA C/8;;;;
201;GUARANA SPORT PET 2L CAIXA C/6 EXPORTACAO;;;;
205;KAS GUARANA ACEROLA PET 2L CAIXA C/8;;;;
210;DIET PEPSI COLA LATA 350ML CAIXA C/24 EXPORTACAO;;;;
212;SODA CRISTAL LATA 350ML CAIXA C/24 EXPORTACAO;;;;
213;TONICA BRAHMA LATA 350ML CAIXA C/24 EXPORTACAO;;;;
214;PEPSI COLA LATA 350ML CAIXA C/24 EXPORTACAO;;;;
215;KAS GUARANA PESSEGO PET 2L CAIXA C/8;;;;
216;SUKITA LATA 350ML CAIXA C/24 EXPORTACAO;;;;
217;LIMAO BRAHMA LATA 350ML CAIXA C/24 EXPORTACAO;;;;
218;GUARANA BRAHMA LATA 350ML CAIXA C/24 EXPORTACAO;;;;
220;SEVEN UP LATA 350ML SIX-PACK BANDEJA C/4;;;;
222;KAS GUARANA ORIGINAL PET 2L CAIXA C/8;;;;
224;KAS GUARANA ORIGINAL PET 600ML CAIXA C/24;;;;
225;GUARANA SPORT ONE WAY 250ML BANDEJA C/24 EXPORTACAO;;;;
226;GUARANA BRAHMA DIET LATA 350ML CAIXA C/24 EXPORTACAO;;;;
228;LIMAO SPORT PET 2L CAIXA C/6 EXPORTACAO;;;;
229;BRAHMA GUARANA LATA 350ML CAIXA C/24;;;;
230;BRAHMA GUARANA DIET LATA 350ML CAIXA C/24;;;;
231;KAS GUARANA PESSEGO PET 600ML CAIXA C/24;;;;
232;TEEM PET 2L CAIXA C/8;;;;
233;DIET TEEM PET 2L CAIXA C/8;;;;
234;KAS GUARANA ORIGINAL MIX POST-MIX 18L;;;;
236;BRAHMA LIGHT LATA 350ML TWIN-STACK;;;;
238;DIET TEEM 600ML;;;;
239;TEEM PET 600ML CAIXA C/24;;;;
241;DIET TEEM PET 600ML CAIXA C/24;;;;
244;LARANJA SPORT PET 2L CAIXA C/8;;;;
245;GUARANA SPORT PET 2L CAIXA C/8;;;;
246;LIMAO SPORT PET 2L CAIXA C/8;;;;
247;BRAHMA GUARANA PET 2L CAIXA C/4;;;;
248;SUKITA PET 2L CAIXA C/4;;;;
249;LIMAO BRAHMA PET 2L CAIXA C/4;;;;
250;BRAHMA GUARANA DIET PET 2L CAIXA C/4;;;;
251;BRAHMA GUARANA PET 1L CAIXA C/6;;;;
252;BRAHMA GUARANA DIET PET 1L CAIXA C/6;;;;
253;SUKITA PET 1L CAIXA C/6;;;;
254;LIMAO BRAHMA PET 1L CAIXA C/6;;;;
255;BRAHMA GUARANA LATA 350ML CAIXA C/24 EXPORTACAO;;;;
257;ROLHA MET BRCHOPP 600ML CX10,7MIL CARNAVAL RIO 2004;;;;
258;BRAHMA CHOPP LATA 500ML BANDEJA C/24 EXPORTACAO;;;;
259;BRAHMA GUARANA LATA 350ML TWELVE-PACK CARTAO;;;;
261;BRAHMA GUARANA LATA 350ML TWELVE-PACK BANDEJA C/2;;;;
262;BRAHMA GUARANA DIET LATA 350ML TWELVE-PACK BANDEJA C/2;;;;
263;BRAHMA GUARANA LATA 350ML PLASTISIX HI-CONE;;;;
264;BRAHMA GUARANA DIET LATA 350ML PLASTISIX HI-CONE;;;;
265;BRAHMA GUARANA LATA 350ML PLASTISIX BANDEJA C/4;;;;
266;BRAHMA GUARANA DIET LATA 350ML PLASTISIX BANDEJA C/4;;;;
268;BRAHMA CHOPP LATA 350ML BANDEJA C/24 IPTC;;;;
269;DIET PEPSI COLA PET 600ML CAIXA C/24;;;;
270;KAS GUARANA PESSEGO LATA 350ML BANDEJA C/24;;;;
273;SEVEN UP 1,25L;;;;
274;DIET TEEM PRB 2L CAIXA C/9;;;;
275;AGUA RAINHA 284ML;;;;
276;SEVEN UP PRB 2L CAIXA C/9;;;;
277;BRAHMA CHOPP LONG NECK 355ML SIX-PACK;;;;
279;BRAHMA CHOPP LONG NECK 355ML SIX-PACK CAIXA C/4;;;;
280;BRAHMA CHOPP LONG NECK 355ML SIX-PACK CAIXA C/4 EXPORTACAO;;;;
282;BRAHMA EXTRA LONG NECK 355ML SIX-PACK CAIXA C/4;;;;
285;BRAHMA BOCK LONG NECK 355ML SIX-PACK CAIXA C/4;;;;
286;BRAHMA BOCK LONG NECK 355ML SIX-PACK CAIXA C/4 EXPORTACAO;;;;
288;BRAHMA LIGHT LONG NECK 355ML SIX-PACK CAIXA C/4;;;;
289;SEVEN UP MIX BAG IN BOX 18L;;;;
291;MALZBIER BRAHMA LONG NECK 355ML SIX-PACK CAIXA C/4;;;;
292;BRAHMA CHOPP LONG NECK 355ML TWELVE-PACK;;;;
293;BRAHMA CHOPP LONG NECK 355ML TWELVE-PACK BANDEJA C/2;;;;
294;BRAHMA CHOPP LONG NECK 355ML SIX-PACK BANDEJA C/4;;;;
295;BRAHMA CHOPP LONG NECK 355ML BANDEJA C/24;;;;
296;BRAHMA CHOPP LN 355 CX C/24;;;;
297;BRAHMA CHOPP LONG NECK 355ML TWELVE-PACK EXPORTACAO;;;;
298;BRAHMA CHOPP LONG NECK 355ML SIX-PACK BANDEJA C/4 EXPORTACAO;;;;
299;BRAHMA CHOPP LONG NECK 355ML TWELVE-PACK BANDEJA C/2 EXPORTACAO   ;;;;
301;PEPSI COLA LATA 350ML CAIXA C/24;;;;
